#F CrossSec_BrennanCowan.dat
#C This file has been created using  CrossSec_BrennanCowan fortran program.
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/expg/subgroups/theory/DABAX/dabax.html
#UT Cross Sections from Brennan & Cowan programs
#U3W Sheet_ScatFac
#UIDL xcrosssec
#UD Cross Sections from Brennan & Cowan programs.
#UD 
#UD The cross section factors stored in this file have been calculated 
#UD using the subroutine library by Brennan and Cowan:
#UD S. Brennan and P.L. Cowan (1992), Rev. Sci. Instrum. 63, 850.
#UD  
#UD The photo-electric cross section is calculated using the theoretical
#UD approximation developed by Cromer and Liberman. This theory gives
#UD accurate values far from an absorption edge but does not account 
#UD for the effects of neighboring atoms, which can be 
#UD critical near an absorption edge. 
#UD 
#UD The program suite described by Brennan and Cowan (1992) is
#UD available by ftp from the authors from
#UD http://www-ssrl.slac.stanford.edu/absorb.html or
#UD ftp://ftpa.aps.anl.gov/pub/cross-section_codes/sb-1.0.tar.Z 
#UD WWW interfaces to the values produced by Brennan & Cowan library
#UD can be found at the URL:
#UD http://www.bmsc.washington.edu:80/scatter/AS_periodic.html
#UD http://www.bmsc.washington.edu/scatter/periodic-table.html
#UD 
#UD The data in this file contains 520 energy points in a logarithmic
#UD scale, which can be calculated from:
#UD Cte = log10(1.0D4/30.)/300.
#UD Energy(i) = 30.*10.**((i-1)*Cte), 0<i<521
#UD and are available for elements with Z in from 3 to 92.
#UD 
#UD The Compton and Rayleigh cross sections contained in this file are
#UD calculated using the same library. Compton data are calculated
#UD with the method described in the DABAX file CrossSec_Compton_Balyuzi.dat,
#UD 
#UD Column description: 
#UD 1: PhotonEnergy[eV] 
#UD 2: PhotoElectric[barn/atom] 
#UD 3: Compton(incoherent)[barn/atom]
#UD 4: Rayleigh(coherent)[barn/atom]
#UD 5: TotalCrossSection[barn/atom]
#UD 
#S  3 Li
#UF1ADD  3.0
#N 5
#L  PhotonEnergy[eV]  PhotoElectric[barn/atom]  Compton(incoherent)[barn/atom]  Rayleigh(coherent)[barn/atom]  TotalCrossSection[barn/atom]
  30.000       0.24898E+06   0.61782E-03   0.35038E-02   0.24898E+06  
  30.587       0.24046E+06   0.65036E-03   0.37950E-02   0.24046E+06  
  31.185       0.23217E+06   0.68448E-03   0.41083E-02   0.23217E+06  
  31.794       0.22411E+06   0.72025E-03   0.44451E-02   0.22411E+06  
  32.416       0.21628E+06   0.75773E-03   0.48070E-02   0.21628E+06  
  33.050       0.20867E+06   0.79700E-03   0.51956E-02   0.20867E+06  
  33.696       0.20128E+06   0.83813E-03   0.56127E-02   0.20128E+06  
  34.355       0.19411E+06   0.88121E-03   0.60601E-02   0.19411E+06  
  35.027       0.18714E+06   0.92631E-03   0.65398E-02   0.18714E+06  
  35.711       0.18038E+06   0.97353E-03   0.70538E-02   0.18038E+06  
  36.410       0.17382E+06   0.10230E-02   0.76043E-02   0.17382E+06  
  37.122       0.16746E+06   0.10747E-02   0.81935E-02   0.16746E+06  
  37.847       0.16129E+06   0.11288E-02   0.88238E-02   0.16129E+06  
  38.587       0.15531E+06   0.11853E-02   0.94976E-02   0.15531E+06  
  39.342       0.14951E+06   0.12445E-02   0.10218E-01   0.14951E+06  
  40.111       0.14390E+06   0.13064E-02   0.10987E-01   0.14390E+06  
  40.895       0.13846E+06   0.13711E-02   0.11808E-01   0.13846E+06  
  41.695       0.13320E+06   0.14386E-02   0.12684E-01   0.13320E+06  
  42.510       0.12810E+06   0.15092E-02   0.13618E-01   0.12810E+06  
  43.341       0.12317E+06   0.15830E-02   0.14613E-01   0.12317E+06  
  44.189       0.11840E+06   0.16601E-02   0.15673E-01   0.11840E+06  
  45.053       0.11378E+06   0.17405E-02   0.16801E-01   0.11378E+06  
  45.934       0.10932E+06   0.18245E-02   0.18002E-01   0.10932E+06  
  46.832       0.10501E+06   0.19122E-02   0.19279E-01   0.10501E+06  
  47.748       0.10084E+06   0.20036E-02   0.20636E-01   0.10084E+06  
  48.681        96816.       0.20991E-02   0.22077E-01    96816.      
  49.633        92928.       0.21987E-02   0.23607E-01    92928.      
  50.603        89175.       0.23025E-02   0.25231E-01    89175.      
  51.593        85551.       0.24108E-02   0.26953E-01    85551.      
  52.602        82055.       0.25236E-02   0.28779E-01    82055.      
  53.630        78682.       0.26413E-02   0.30713E-01    78682.      
  54.679        75430.       0.27639E-02   0.32760E-01    75430.      
  55.748       0.33531E+07   0.28916E-02   0.34927E-01   0.33531E+07  
  56.838       0.32869E+07   0.30246E-02   0.37220E-01   0.32869E+07  
  57.949       0.32201E+07   0.31632E-02   0.39643E-01   0.32201E+07  
  59.082       0.31529E+07   0.33074E-02   0.42203E-01   0.31529E+07  
  60.237       0.30852E+07   0.34576E-02   0.44907E-01   0.30852E+07  
  61.415       0.30173E+07   0.36139E-02   0.47760E-01   0.30173E+07  
  62.616       0.29491E+07   0.37765E-02   0.50770E-01   0.29491E+07  
  63.840       0.28808E+07   0.39457E-02   0.53944E-01   0.28808E+07  
  65.089       0.28124E+07   0.41217E-02   0.57289E-01   0.28124E+07  
  66.361       0.27440E+07   0.43047E-02   0.60812E-01   0.27440E+07  
